Date,Sales,Channel
2024-01-01,158.45 value,Retail|West
2024-01-02,167.56,Retail|South
2024-01-03,175.22,Retail|West
2024-01-04,163.90 USD,Retail|South
2024-01-05,approx 136.56,Retail|West
2024-01-06,127.33,Retail|South
2024-01-07,132.48 USD,Wholesale|North
2024-01-08,143.60,Online|West
2024-01-09,177.35,Retail|West
2024-01-10,180.43 | est,Retail|West
2024-01-11,approx 161.11,Online|East
2024-01-12,approx 142.02,Online|East
2024-01-13,approx 132.22,Online|West
2024-01-14,approx 133.55,Retail|West
2024-01-15,153.53 | est,Wholesale|North
2024-01-16,167.36 | est,Online|West
2024-01-17,182.57,Retail|West
2024-01-18,167.23,Wholesale|North
2024-01-19,146.63 value,Wholesale|North
2024-01-20,124.43,Online|East
2024-01-21,145.49 USD,Online|West
2024-01-22,157.89 USD,Retail|South
2024-01-23,175.07 value,Online|West
2024-01-24,192.32 USD,Online|East
2024-01-25,168.76 USD,Retail|West
2024-01-26,140.37 | est,Wholesale|North
2024-01-27,132.41 | est,Online|West
2024-01-28,128.17,Retail|South
2024-01-29,164.74 value,Retail|West
2024-01-30,177.29 | est,Online|West
2024-01-31,180.83 | est,Wholesale|North
2024-02-01,176.72 USD,Wholesale|North
2024-02-02,141.74 USD,Retail|West
2024-02-03,139.49 USD,Wholesale|North
2024-02-04,131.66 value,Retail|South
2024-02-05,158.55 USD,Wholesale|North
2024-02-06,approx 175.73,Wholesale|North
2024-02-07,194.23 USD,Retail|West
2024-02-08,182.56,Online|East
2024-02-09,150.73 USD,Online|West
2024-02-10,approx 143.39,Retail|West
2024-02-11,143.45,Online|West
2024-02-12,167.08 | est,Retail|South
2024-02-13,180.36,Wholesale|North
2024-02-14,180.75 value,Online|East
2024-02-15,167.09 value,Retail|West
2024-02-16,156.66 USD,Online|West
2024-02-17,152.80 | est,Online|West
2024-02-18,148.07 | est,Online|East
2024-02-19,163.99,Wholesale|North
2024-02-20,approx 196.06,Wholesale|North
2024-02-21,192.85 | est,Retail|South
2024-02-22,178.98 USD,Retail|West
2024-02-23,approx 158.38,Retail|West
2024-02-24,approx 143.27,Online|West
2024-02-25,147.55 USD,Online|East
2024-02-26,161.81,Wholesale|North
2024-02-27,approx 191.38,Retail|West
2024-02-28,193.56,Online|East
2024-02-29,186.81 | est,Online|East
